record_id,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
252689,SLB,Oceania,Solomon Islands,2021-06-24,20,0,0,,0,0,27.614,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,291,46,0.006,25,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,724272,,,,
233922,MAF,North America,Saint Martin (French part),2023-03-25,12280,0,0.286,46,0,0,385969.3,0,8.98,1445.813,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.533,,,,,,,,,,,,82.08,,31816,,,,
143322,KWT,Asia,Kuwait,2022-07-03,645115,283,447.143,2555,0,0,151120.22,66.294,104.745,598.517,0,0,1.02,,,,,,,,,,,,,,,,,,,,,,,2402,,,,,563,243,0.006,5.56,232.128,33.7,2.345,1.114,65530.535,,132.235,15.84,2.7,37,,2,75.49,0.806,4.268886e+06,,,,
115622,GUY,South America,Guyana,2023-04-22,73121,0,0.286,1298,0,0,90414.94,0,0.353,1604.992,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727,,,,
298886,VEN,South America,Venezuela,2021-04-22,185736,1141,1252,1944,19,18.429,6562.715,40.316,44.238,68.688,0.671,0.651,1.05,,,,,,,,,,,,,,,,,,,,,,,1784,,,,,63,1784,0.006,87.96,36.253,29,6.614,3.915,16745.021,,204.85,6.47,,,,0.8,72.06,0.711,2.83017e+07,,,,
136183,JEY,Europe,Jersey,2022-12-13,64067,149,95.429,142,0,0,578242.9,1344.814,861.3,1281.635,0,0,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,686,1,0.001,,,,,,,,,,,,,,,,110796,,,,
74825,ECU,South America,Ecuador,2021-06-12,437121,1098,911.714,20997,48,34.571,24283.148,60.997,50.648,1166.435,2.667,1.921,0.99,,,,,,,,,1.417925e+06,3909,79.669,0.22,3613,0.203,0.26,3.8,people tested,3.642516e+06,2.539644e+06,1.102872e+06,,49734,59762,20.24,14.11,6.13,,3320,35204,0.196,56.48,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,1.8001002e+07,,,,
4897,ASM,Oceania,American Samoa,2020-01-31,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295,,,,
274828,TGO,Africa,Togo,2022-02-14,36660,26,8.857,271,1,0.286,4142.981,2.938,1.001,30.626,0.113,0.032,0.62,,,,,,,,,676842,863,78.294,0.1,957,0.111,0.0082,121.8,tests performed,,,,,,5219,,,,,590,3190,0.036,43.52,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8.8487e+06,,,,
192471,NIC,North America,Nicaragua,2021-06-30,6604,202,28.857,191,1,0.143,950.435,29.071,4.153,27.488,0.144,0.021,1.33,,,,,,,,,,,,,,,,,,,,,,,4431,,,,,638,1523,0.022,8.33,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6.948395e+06,9432.198,24.8,26.3,1376.8535
